Wall time,Step,Value
1667838598.9516258,599,0.7313539981842041
1667838618.968185,1199,0.639941930770874
1667838639.066963,1799,0.6031161546707153
1667838659.0007095,2399,0.574664294719696
1667838678.8992162,2999,0.5514086484909058
1667838698.762608,3599,0.5310134887695312
1667838718.705619,4199,0.5093469023704529
1667838738.7193418,4799,0.4945771098136902
1667838758.9216723,5399,0.4776005744934082
1667838779.0259495,5999,0.46649909019470215
1667838799.0189528,6599,0.45212846994400024
1667838819.0595868,7199,0.4458774924278259
1667838839.1903949,7799,0.43366384506225586
1667838859.1851518,8399,0.4255387485027313
1667838879.2290363,8999,0.4200581908226013
1667838899.1783798,9599,0.40945035219192505
1667838919.3314097,10199,0.4007863402366638
1667838939.48912,10799,0.39732280373573303
1667838959.6578321,11399,0.39223554730415344
1667838979.7433546,11999,0.38768982887268066
1667838999.7952018,12599,0.3788699209690094
1667839019.8849273,13199,0.37363532185554504
1667839040.0032327,13799,0.3689998388290405
1667839060.0112138,14399,0.3689645230770111
1667839080.1741214,14999,0.36338362097740173
1667839100.3273368,15599,0.3587988615036011
1667839120.5700064,16199,0.35224050283432007
1667839140.6494913,16799,0.35368043184280396
1667839160.8008144,17399,0.3493958115577698
1667839180.923899,17999,0.34674566984176636
1667839200.9504292,18599,0.3414192199707031
1667839221.0031624,19199,0.3341255784034729
1667839241.037705,19799,0.33351725339889526
1667839261.2153065,20399,0.3371036946773529
1667839281.2827759,20999,0.3285304307937622
1667839301.3110194,21599,0.3307987451553345
1667839321.3902,22199,0.32257500290870667
1667839341.4118824,22799,0.32640916109085083
1667839361.5650535,23399,0.3200318515300751
1667839381.7259645,23999,0.31849780678749084
1667839401.810285,24599,0.31838458776474
1667839421.8042703,25199,0.3144371807575226
1667839442.0648036,25799,0.3100360631942749
1667839462.1494012,26399,0.30999037623405457
1667839482.3143992,26999,0.30956414341926575
1667839502.5242612,27599,0.3060111701488495
1667839522.661962,28199,0.3055935204029083
1667839542.8301144,28799,0.3040226995944977
1667839563.1170993,29399,0.3022804260253906
1667839583.286861,29999,0.2987830340862274
