Wall time,Step,Value
1667838598.9516883,599,0.782796323299408
1667838618.9682598,1199,0.7976086735725403
1667838639.0670302,1799,0.8061231374740601
1667838659.0007703,2399,0.8153156042098999
1667838678.8992953,2999,0.8215221762657166
1667838698.7626665,3599,0.828328549861908
1667838718.7056773,4199,0.8349002003669739
1667838738.7194047,4799,0.839711606502533
1667838758.9217331,5399,0.8446794152259827
1667838779.0260339,5999,0.8491909503936768
1667838799.019025,6599,0.8542500734329224
1667838819.0596766,7199,0.855358362197876
1667838839.1905031,7799,0.8585659861564636
1667838859.1852138,8399,0.8620604276657104
1667838879.2291024,8999,0.8632208704948425
1667838899.1784623,9599,0.8665980100631714
1667838919.33147,10199,0.8689841032028198
1667838939.489183,10799,0.8707965612411499
1667838959.6579237,11399,0.871657133102417
1667838979.7434187,11999,0.8731566071510315
1667838999.795267,12599,0.8763381242752075
1667839019.884987,13199,0.8785156607627869
1667839040.0032935,13799,0.8796108961105347
1667839060.0112863,14399,0.8799629807472229
1667839080.174195,14999,0.8812538385391235
1667839100.3273969,15599,0.8842267394065857
1667839120.570068,16199,0.8851655125617981
1667839140.6495514,16799,0.8859348297119141
1667839160.8008769,17399,0.8861695528030396
1667839180.9239602,17999,0.8874995112419128
1667839200.9505172,18599,0.8894162178039551
1667839221.0032294,19199,0.8913329839706421
1667839241.0377707,19799,0.8908765912055969
1667839261.2153714,20399,0.8896118402481079
1667839281.2828367,20999,0.8919979929924011
1667839301.3110812,21599,0.8921805024147034
1667839321.3902643,22199,0.89491868019104
1667839341.4119463,22799,0.8936148285865784
1667839361.5651195,23399,0.8958966135978699
1667839381.726027,23999,0.8963921070098877
1667839401.8103743,24599,0.8964442610740662
1667839421.8043294,25199,0.8965225219726562
1667839442.0648615,25799,0.898686945438385
1667839462.1494746,26399,0.8983479738235474
1667839482.3145385,26999,0.8996909856796265
1667839502.5243452,27599,0.8996779322624207
1667839522.6620283,28199,0.9000951647758484
1667839542.830251,28799,0.9013208746910095
1667839563.1171591,29399,0.9011383056640625
1667839583.286933,29999,0.9028334021568298
