Wall time,Step,Value
1667627218.3666215,5,1.4835728406906128
1667627219.3516326,11,1.1580456495285034
1667627220.3297799,17,1.0921289920806885
1667627221.329529,23,1.0785980224609375
1667627222.3350823,29,1.0515563488006592
1667627223.3743143,35,1.0298519134521484
1667627224.3703094,41,0.9981625080108643
1667627225.3556952,47,0.9576278328895569
1667627226.3540113,53,0.9113093614578247
1667627227.3866484,59,0.8557860255241394
1667627228.7212675,65,0.8155146837234497
1667627230.1958385,71,0.7670894861221313
1667627231.9599867,77,0.7135531902313232
1667627233.7040975,83,0.6639124751091003
1667627235.4516451,89,0.6297957897186279
1667627236.9465308,95,0.5872561931610107
1667627238.300725,101,0.5356244444847107
1667627239.3789449,107,0.4886510670185089
1667627240.4168875,113,0.48007240891456604
1667627241.4336622,119,0.463300883769989
1667627242.4712071,125,0.4260548949241638
1667627243.4883242,131,0.3885365128517151
1667627244.4847836,137,0.3863254189491272
1667627245.5022953,143,0.3693447411060333
1667627246.5008416,149,0.3269589841365814
1667627247.5473008,155,0.3006199300289154
1667627248.5612898,161,0.2712038457393646
1667627249.61872,167,0.25431305170059204
1667627250.757292,173,0.23706035315990448
1667627251.8429217,179,0.21301215887069702
1667627252.8579898,185,0.19781944155693054
1667627253.9567192,191,0.1750970482826233
1667627255.0069091,197,0.1687607765197754
1667627255.9981945,203,0.17007027566432953
1667627257.0565045,209,0.15869690477848053
1667627258.0871851,215,0.16191251575946808
1667627259.1982954,221,0.14951373636722565
1667627260.2497594,227,0.1418510228395462
1667627261.3150997,233,0.13233308494091034
1667627262.4527533,239,0.1239054873585701
1667627263.5418334,245,0.1263420283794403
1667627264.6252098,251,0.1092449426651001
1667627265.6518652,257,0.0960477739572525
1667627266.6729105,263,0.08954022824764252
1667627267.6878216,269,0.08866278827190399
1667627268.7314181,275,0.08223439007997513
1667627269.8459978,281,0.0780227780342102
1667627270.909389,287,0.07986018061637878
1667627271.9627426,293,0.07544757425785065
1667627273.041025,299,0.07422064989805222
1667627274.066924,305,0.07463064789772034
1667627275.1026433,311,0.0678001269698143
1667627276.1579561,317,0.06834366917610168
1667627277.2175524,323,0.06718320399522781
1667627278.3077915,329,0.06825027614831924
1667627279.3126924,335,0.06669445335865021
1667627280.3557568,341,0.05860662832856178
1667627281.3738906,347,0.05614464357495308
1667627282.7955759,353,0.0658125951886177
1667627284.2382057,359,0.05829820781946182
1667627285.2806005,365,0.05763136222958565
1667627286.3365932,371,0.06272301077842712
1667627287.371935,377,0.07052865624427795
1667627288.4275007,383,0.06893164664506912
1667627289.5121665,389,0.061115775257349014
1667627290.5773292,395,0.05865029990673065
1667627291.6603377,401,0.052897077053785324
1667627292.7596724,407,0.05437612906098366
1667627293.9240813,413,0.0571589469909668
1667627295.02997,419,0.053466711193323135
1667627296.0799484,425,0.059438418596982956
1667627297.2236495,431,0.05761837214231491
1667627298.2452035,437,0.05334800109267235
1667627299.294897,443,0.050355926156044006
1667627300.5382717,449,0.0517006553709507
1667627301.6223009,455,0.05527350306510925
1667627302.696592,461,0.053186021745204926
1667627303.7422142,467,0.052392538636922836
1667627304.8258572,473,0.05100104212760925
1667627305.867099,479,0.048247478902339935
1667627306.8818347,485,0.04921501502394676
1667627307.9370584,491,0.0494518056511879
1667627308.9944658,497,0.05073745176196098
1667627310.0959241,503,0.04708351194858551
1667627311.15303,509,0.04849085956811905
1667627312.237764,515,0.041780345141887665
1667627313.306767,521,0.054898690432310104
1667627314.3508968,527,0.04802308604121208
1667627315.44619,533,0.04564325138926506
1667627316.568709,539,0.04766031354665756
1667627317.6414783,545,0.05036314204335213
1667627318.7561133,551,0.042689669877290726
1667627319.8251817,557,0.04526354372501373
1667627320.8999543,563,0.041774652898311615
1667627321.955053,569,0.05114727094769478
1667627322.9930012,575,0.038924120366573334
1667627324.1857734,581,0.043966736644506454
1667627325.2592802,587,0.043619852513074875
1667627326.3588622,593,0.04140203446149826
1667627327.4487975,599,0.041801974177360535
