Wall time,Step,Value
1667627218.3664856,5,0.6253482103347778
1667627219.3514616,11,0.6629526615142822
1667627220.3296514,17,0.6629526615142822
1667627221.329402,23,0.6629526615142822
1667627222.3349283,29,0.6629526615142822
1667627223.3741162,35,0.6629526615142822
1667627224.3701894,41,0.6629526615142822
1667627225.3555665,47,0.6740947365760803
1667627226.3538742,53,0.679665744304657
1667627227.3864746,59,0.6935933232307434
1667627228.7211337,65,0.7019498348236084
1667627230.1956773,71,0.7242339849472046
1667627231.9597185,77,0.7353760600090027
1667627233.7039068,83,0.7562674283981323
1667627235.451466,89,0.7883008122444153
1667627236.9463477,95,0.7910863757133484
1667627238.300592,101,0.8161559700965881
1667627239.3788068,107,0.8314763307571411
1667627240.4167528,113,0.8286908268928528
1667627241.433527,119,0.8426184058189392
1667627242.4710643,125,0.8537604212760925
1667627243.488154,131,0.8732590675354004
1667627244.4846509,137,0.8537604212760925
1667627245.502112,143,0.8718662858009338
1667627246.500701,149,0.8899721503257751
1667627247.5471747,155,0.8969359397888184
1667627248.561149,161,0.9150418043136597
1667627249.6185784,167,0.9233983159065247
1667627250.7571082,173,0.9206128120422363
1667627251.8427832,179,0.9345403909683228
1667627252.8578598,185,0.9428969621658325
1667627253.9565737,191,0.941504180431366
1667627255.0067604,197,0.9526462554931641
1667627255.9980297,203,0.9456824660301208
1667627257.0563784,209,0.9470751881599426
1667627258.0870204,215,0.9526462554931641
1667627259.1981673,221,0.9540389776229858
1667627260.2496054,227,0.9582172632217407
1667627261.3149252,233,0.9540389776229858
1667627262.4526033,239,0.9665738344192505
1667627263.5417008,245,0.961002767086029
1667627264.6250608,251,0.9693593382835388
1667627265.6517274,257,0.9721448421478271
1667627266.6727533,263,0.9721448421478271
1667627267.6876845,269,0.9721448421478271
1667627268.731219,275,0.976323127746582
1667627269.8458652,281,0.976323127746582
1667627270.909188,287,0.9791086316108704
1667627271.9625726,293,0.976323127746582
1667627273.0408974,299,0.9791086316108704
1667627274.066794,305,0.976323127746582
1667627275.1025097,311,0.976323127746582
1667627276.1578276,317,0.9777158498764038
1667627277.2174265,323,0.9818941354751587
1667627278.3076642,329,0.9777158498764038
1667627279.3125603,335,0.9735376238822937
1667627280.3555956,341,0.9777158498764038
1667627281.373754,347,0.9777158498764038
1667627282.795314,353,0.9735376238822937
1667627284.2380264,359,0.976323127746582
1667627285.2804737,365,0.9805014133453369
1667627286.3363783,371,0.9777158498764038
1667627287.3718061,377,0.9735376238822937
1667627288.4273746,383,0.976323127746582
1667627289.5119493,389,0.976323127746582
1667627290.5772088,395,0.9805014133453369
1667627291.6602128,401,0.9791086316108704
1667627292.7595308,407,0.9791086316108704
1667627293.9239175,413,0.9791086316108704
1667627295.0295303,419,0.9791086316108704
1667627296.0798123,425,0.9791086316108704
1667627297.2234824,431,0.9805014133453369
1667627298.2450628,437,0.9818941354751587
1667627299.294752,443,0.9832869172096252
1667627300.5380757,449,0.984679639339447
1667627301.6221087,455,0.976323127746582
1667627302.696461,461,0.9818941354751587
1667627303.742073,467,0.9818941354751587
1667627304.8257227,473,0.976323127746582
1667627305.8669512,479,0.9818941354751587
1667627306.8817027,485,0.9818941354751587
1667627307.9369142,491,0.9777158498764038
1667627308.9942808,497,0.9832869172096252
1667627310.0957906,503,0.9818941354751587
1667627311.152889,509,0.9832869172096252
1667627312.2376325,515,0.9832869172096252
1667627313.306599,521,0.9805014133453369
1667627314.35076,527,0.9805014133453369
1667627315.4460208,533,0.9805014133453369
1667627316.5685754,539,0.9832869172096252
1667627317.6413388,545,0.9777158498764038
1667627318.755963,551,0.9832869172096252
1667627319.8250258,557,0.9791086316108704
1667627320.8998027,563,0.9805014133453369
1667627321.9549043,569,0.9735376238822937
1667627322.992853,575,0.9777158498764038
1667627324.1856494,581,0.9818941354751587
1667627325.2591438,587,0.9818941354751587
1667627326.3587306,593,0.9805014133453369
1667627327.4486718,599,0.9777158498764038
